0x3cc3 ![d[bc]]
0x01a8 (![a{bc}][d{bc}])
0x007e (!d{[ab][ac]})
0x019f !{(d!(!a[cd]))[(!a[cd])(!b[cd])]}
0x0676 (!(cd)[a{b(!ac)}])
0x0663 !{(cd)[b(!a[cd])]}
0x013d ![(!d[bc]){b{a[bc]}}]
0x019b !{(cd)[b(a{c[bd]})]}
0x0119 ![{a(cd)}(b!({cd}{a(cd)}))]
0x0168 (![c[ab]][d{ab}])
0x16a9 ![{bc}[a(d!(!a(bc)))]]
0x0368 [(a!d)(![bc][d{c(a!d)}])]
0x0198 (![ab][d{ac}])
0x018f !{(c!(ab))(d{ab})}
0x06f1 ![d(!c[a(b!(a!d))])]
0x0183 !{[bc][b(a[cd])]}
0x0182 (!(bd)(![bc][ad]))
0x0181 !{[a(b!(ad))][c(b!(ad))]}
0x07bc [[cd](b![d(a[cd])])]
0x03c3 ![b(c!(bd))]
0x0199 !{[ab](d{bc})}
0x19e3 ![{b(ac)}(!(!ad)[cd])]
0x003c (!d[bc])
0x0016 (!{d(ab)}[a[bc]])
0x0779 !({c[b[a[cd]]]}!([cd]!(a[b[a[cd]]])))
0x0359 ![{ad}(!c[bd])]
0x0006 ([ab]!{cd})
0x016e (!(c![ab])[d{ab}])
0x1698 ({b[ac]}![[bd]{a(d[ac])}])
0x01e9 ![{c(ab)}({ab}!(d{c(ab)}))]
0x16bc [c[b(a[d(bc)])]]
0x166b ![d([a[bc]]!(a![bd]))]
0x0118 (![a(b!(ac))][c[d(b!(ac))]])
0x017f ![d([cd]([ad][bd]))]
0x0001 !{{ab}{cd}}
0x0187 !{[c(ab)](d{ab})}
0x07e1 ![c{(a!d)(b![d(a!c)])}]
0x067e [d{[c(a!d)][a[bd]]}]
0x0117 ![(!d(!(ab)[c{ab}])){{ab}(!(ab)[c{ab}])}]
0x013e [{d(bc)}{a{bc}}]
0x033c [b[c(d!(bc))]]
0x07e6 [{c(ab)}{d[c{ab}]}]
0x036b !({bc}!(!d[a(bc)]))
0x012f !{(b[cd])[c(a[cd])]}
0x0356 [{bc}{ad}]
0x011b ![{b{a(cd)}}(!{cd}{a(cd)})]
0x01ef ![d(!b(!a[cd]))]
0x037c [{bc}{d(a(bc))}]
0x012d !{(d{ab})[b[c{ab}]]}
0x169e [c[a(b!(a![cd]))]]
0x01ae (!(!ac)[d{ab}])
0x01ea ([d{ab}]!(!a[bc]))
0x0019 !{d[a(b!(ac))]}
0x067a {(!d[a[cd]])([cd]![b[a[cd]]])}
0x007f !{d(c(ab))}
0x0776 (!(cd)[a{b(!a{cd})}])
0x006b !{d[c[b(a{bc})]]}
0x17ac [[d{bc}](!a[c(bd)])]
0x011a ([d[ac]][c{a[bd]}])
0x013c ([c[bd]]!(d!(!a[bd])))
0x07f1 ![d(!c{[ad][bd]})]
0x067b ![{d(a![bc])}(!c[a[bc]])]
0x037d ![d({ad}!{[bc](cd)})]
0x0003 !{d{bc}}
0x0069 !{d[c[ab]]}
0x003f !{d(bc)}
0x012c ([b[cd]]![d(!a[cd])])
0x0196 (!(d!(!b[ad]))[b[c[ad]]])
0x001e (!d[c{ab}])
0x0169 !{(d{ab})[b[ac]]}
0x07e2 (!(cd)[{ad}(b[ac])])
0x0693 ![(a[cd])[b(d!(bc))]]
0x016b ![{bc}([a(bc)][d{bc}])]
0x03c0 ([bd][cd])
0x037e [d{[b(a!d)][c(a!d)]}]
0x000f !{cd}
0x001b !{d[b(a[bc])]}
0x0357 !({bc}{ad})
0x0018 (!d([ac][bc]))
0x1689 ![[ad]{[b(!ac)](c![ad])}]
0x0673 !({bd}!([ab][cd]))
0x03cf ![c(b[cd])]
0x069f ![c(![ab][cd])]
0x1697 ![c(![ab]{[ad][cd]})]
0x03de [d{b[c(a!d)]}]
0x179a [a[{c[b(!ad)]}(b!(d[b(!ad)]))]]
0x0017 !{(ab){d(c[ab])}}
